first-stage tube temperature (Tt) ,high-temperature fan speed (Sf),temperature (Tf) in the pre-calciner,kiln tail air pressure (Pk),kiln motor current (Ik),kiln tail temperature (Tk),secondary air temperature feedback (Ta),second chamber grate pressure (Pg),EP fan speed (Sa)
0.476588523,0.438237813,0.401486935,0.486813619,0.555722354,0.299655646,0.436756658,0.709900603,0.425811875
0.471190131,0.43819188,0.449180674,0.477505169,0.553552528,0.2949146,0.446290601,0.709974057,0.427075982
0.477997109,0.438260178,0.460710343,0.467921753,0.542072593,0.289628525,0.455988532,0.708428888,0.423828675
0.49592507,0.438365751,0.485725541,0.459565848,0.544452604,0.284722828,0.460214651,0.7092382,0.42238071
0.508269698,0.43832078,0.480288077,0.44897883,0.519824366,0.287967987,0.456856594,0.71026825,0.417917275
0.503127517,0.438275088,0.485036259,0.43795463,0.498321192,0.287245494,0.456332363,0.709716779,0.418005937
0.475273451,0.438418417,0.476438443,0.431340004,0.484185562,0.289172228,0.451516223,0.709974245,0.414379565
0.450353496,0.438259937,0.477750448,0.423810595,0.479295369,0.291593522,0.45012379,0.710672812,0.41817108
0.437053147,0.438373446,0.47779013,0.414089961,0.444903242,0.294673856,0.451991355,0.710010972,0.418682743
0.437109496,0.438282783,0.495362726,0.403015768,0.452934668,0.294990693,0.43998397,0.709900415,0.42278743
0.429329783,0.438327995,0.496085289,0.39577409,0.467879941,0.296587951,0.420768786,0.709054376,0.424042584
0.436255848,0.438267392,0.501471564,0.394258316,0.481011911,0.297044249,0.420637485,0.70920166,0.41950758
0.429112915,0.438561506,0.496754746,0.394609337,0.49373877,0.298210573,0.429270541,0.709422211,0.420992143
0.439536525,0.438169755,0.513133729,0.394383832,0.486290304,0.301772742,0.437837806,0.710599358,0.4267693
0.460771794,0.438154605,0.524173152,0.394934829,0.484881616,0.302964258,0.436838582,0.709863501,0.437828204
0.469572081,0.438282543,0.533875611,0.402589224,0.494127465,0.306691078,0.435266305,0.709569495,0.444154433
0.478413822,0.438312844,0.519506876,0.4135262,0.492038727,0.310772738,0.433939523,0.709826961,0.442438858
0.475628519,0.438154364,0.494464797,0.418136813,0.487520977,0.320939319,0.438476787,0.707767235,0.437769634
0.462832049,0.438327995,0.489288445,0.416858776,0.479489716,0.327239446,0.440655497,0.709716404,0.443390604
0.453933956,0.438139214,0.491154697,0.416093974,0.479975584,0.331764851,0.433710024,0.70953258,0.449919385
0.451440998,0.438305148,0.506772084,0.42040356,0.48206424,0.333248186,0.430826822,0.708796723,0.449479303
0.444382061,0.438418176,0.497724991,0.42451317,0.477287636,0.335605767,0.429942068,0.70997387,0.43765249
0.457232734,0.438328235,0.480612561,0.428021256,0.488703064,0.336518449,0.426977081,0.709385484,0.431615048
0.456384413,0.438297693,0.455478957,0.432380304,0.500750121,0.342489187,0.426567321,0.708870553,0.429500064
0.46206134,0.438229877,0.443826397,0.441262209,0.543740135,0.342844027,0.427042592,0.708907092,0.438738458
0.455793359,0.438523509,0.43150056,0.456984777,0.555123227,0.338179161,0.42725554,0.708944194,0.448536501
0.440267951,0.438252482,0.440059973,0.467445747,0.546266072,0.333121278,0.422062604,0.708282167,0.45652786
0.432873078,0.43833569,0.435772592,0.467332463,0.531628571,0.330383147,0.417214056,0.709495853,0.453830455
0.443199959,0.438387875,0.449298437,0.457761279,0.517217341,0.330002855,0.426551326,0.709127831,0.453351327
0.4554117,0.43838042,0.475813809,0.448766621,0.509671865,0.329140902,0.436691424,0.710194796,0.455653411
0.457424141,0.438305148,0.509359629,0.443041781,0.499519447,0.327467638,0.443391125,0.709569495,0.460575625
0.462445121,0.43833545,0.5135875,0.439659211,0.493835944,0.329762111,0.445078151,0.710047699,0.451908278
0.464839209,0.43819188,0.488297101,0.439044924,0.4952608,0.335060738,0.446323565,0.708980734,0.434273418
0.458169357,0.438388356,0.455264566,0.43993471,0.502012966,0.340055253,0.449386612,0.709900603,0.418658361
0.448832206,0.438199576,0.461222361,0.438832184,0.500766289,0.341893429,0.45168021,0.709458938,0.415807212
0.423121302,0.438372965,0.482203614,0.438493927,0.504036866,0.342831561,0.448010591,0.710341705,0.419959891
0.420181849,0.438403026,0.493060643,0.435850629,0.511728185,0.341145485,0.451024678,0.70850253,0.415857646
0.412841203,0.438305148,0.490142223,0.430100792,0.526722127,0.34543006,0.451254177,0.709863688,0.406993433
0.432562641,0.438252482,0.482819288,0.428246229,0.522447477,0.346241284,0.453138155,0.70964295,0.394585815
0.442773653,0.438146909,0.473264026,0.42780692,0.504879011,0.351945567,0.458429149,0.708502718,0.390455898
0.468538751,0.438199816,0.455848872,0.436063369,0.493544506,0.354430229,0.464768328,0.708686167,0.389273125
0.48410774,0.438373206,0.44085998,0.445509036,0.481157589,0.355583742,0.469519235,0.709164933,0.389722965
0.486366791,0.43832054,0.42379236,0.449618646,0.471490709,0.355076802,0.46324515,0.708760558,0.390622642
0.468195364,0.438289998,0.420086737,0.450469607,0.479441047,0.35141335,0.454858145,0.708944382,0.397267747
0.442033743,0.438538419,0.411454368,0.450156879,0.497657392,0.347445526,0.438312939,0.710636085,0.403560619
0.439928844,0.438297934,0.397692362,0.448641636,0.513541818,0.345037043,0.438034619,0.709496041,0.398693724
0.447471479,0.43819188,0.417268799,0.449367613,0.519128147,0.338648098,0.442850342,0.709606035,0.404089371
0.459226065,0.438252482,0.442513757,0.44617385,0.511242482,0.329077535,0.45018958,0.709385297,0.41694765
0.464922095,0.438289998,0.470705285,0.436877633,0.500231916,0.325553542,0.453481986,0.710010785,0.428385638
0.477762122,0.438327754,0.477554609,0.429261,0.495018031,0.324767509,0.451843781,0.709826961,0.435785629
0.473352409,0.438343145,0.490797579,0.428133477,0.495066618,0.321230791,0.449959803,0.709716592,0.438093393
0.471275116,0.438245027,0.497990591,0.428697238,0.495244714,0.322435119,0.441982419,0.709606035,0.440841227
